Backorders,Backorders
Pre-Orders,Voorbestellingen
Status,Status
"This product is Pre-Order and cannot be shipped","Dit product is Voorbesteld en kan niet worden verzonden"
SKU:,SKU:
Ordered,Besteld
Pre-Ordered,Voorbesteld
Pre-Order,Voorbestelling
"In stock","In voorraad"
"Out stock","Uit voorraad"
"not Available","niet Beschikbaar"
"Add to Cart","Toevoegen aan Winkelwagen"
Pre-order,Voorbestelling
"In Stock","Op Voorraad"
"Out Stock","Uit voorraad"
available,beschikbaar
"Pending Pre-Order","In afwachting van Voorbestelling"
"Processing Pre-Order","Verwerking van Voorbestelling"
Preorders,Voorbestellingen
"Pre-Order Note","Voorbestelling Opmerking"
"Pre-Order Status","Voorbestelling Status"
